자치구,위도,경도,geometry
송파구,37.4913101196289,127.121467590332,POINT (966537.5515796974 1943629.5222536696)
송파구,37.4914016723633,127.123344421387,POINT (966703.5056222464 1943639.0138931433)
송파구,37.4926300048828,127.122428894043,POINT (966623.118952193 1943775.6131616523)
송파구,37.4932174682617,127.133308410645,POINT (967585.1139340095 1943836.9861706449)
송파구,37.4933662414551,127.131500244141,POINT (967425.339260976 1943854.115723198)
송파구,37.4943161010742,127.135398864746,POINT (967770.379129429 1943958.1541027525)
송파구,37.4944286466885,127.127020493917,POINT (967029.8036420338 1943973.5419661033)
송파구,37.4960746765137,127.130699157715,POINT (967355.7034264442 1944154.875550237)
송파구,37.4963874816895,127.130340576172,POINT (967324.1428376125 1944189.7035722444)
송파구,37.4976272583008,127.119659423828,POINT (966380.5400195882 1944331.0099763225)
송파구,37.4980049133301,127.130340576172,POINT (967324.8475813901 1944369.1466031172)
송파구,37.4991619635404,127.118594096614,POINT (966287.0621117475 1944501.6562281246)
송파구,37.4992332458496,127.119903564453,POINT (966402.8399701599 1944509.096279085)
송파구,37.4993968616092,127.107561019826,POINT (965311.9395857973 1944531.7257662343)
송파구,37.4995803833008,127.120666503906,POINT (966470.432542016 1944547.3367713154)
송파구,37.5001564025879,127.121696472168,POINT (966561.7294094353 1944610.8758063584)
송파구,37.5006370544434,127.122528076172,POINT (966635.4490841377 1944663.905766885)
송파구,37.5036430358887,127.085899353027,POINT (963399.3082263521 1945011.014849924)
송파구,37.5041415529709,127.075454220373,POINT (962476.3500761129 1945070.435633689)
송파구,37.5055656433105,127.075088500977,POINT (962444.7390409856 1945228.5751304473)
송파구,37.5056228637695,127.08683013916,POINT (963482.541396892 1945230.3022569634)
송파구,37.5065078735352,127.083366394043,POINT (963176.836278397 1945329.8381060313)
송파구,37.5066007533665,127.087243628346,POINT (963519.5631025136 1945338.6323853345)
송파구,37.5068417567881,127.085271607916,POINT (963345.3880669838 1945366.1364694578)
송파구,37.5069732666016,127.083480834961,POINT (963187.1794480435 1945381.4256822628)
송파구,37.5071455015696,127.094240182222,POINT (964138.199291799 1945396.3793101215)
송파구,37.5072326660156,127.084541320801,POINT (963281.0348553535 1945409.7900338266)
송파구,37.5078341201271,127.080419923404,POINT (962917.0743749656 1945478.1336735236)
송파구,37.5083885192871,127.083572387695,POINT (963195.9659423415 1945538.4030303843)
송파구,37.5085258483887,127.071327209473,POINT (962113.7965453633 1945558.4985979998)
송파구,37.5118753801218,127.078414671822,POINT (962741.8561001495 1945927.2777738397)
송파구,37.5119046,127.0884603,POINT (963629.6695835673 1945926.589062752)
송파구,37.512968759194,127.094666605441,POINT (964178.6705160424 1946042.2697965037)
송파구,37.5142288208008,127.088554382324,POINT (963639.111858094 1946184.410203392)
송파구,37.5153199888118,127.081154566702,POINT (962985.7001818856 1946308.3538924598)
송파구,37.5175087792199,127.100408768604,POINT (964688.2754510016 1946543.7854525123)
송파구,37.5183906555176,127.100425720215,POINT (964690.1890083554 1946641.6176950692)
송파구,37.5132217407227,127.120231628418,POINT (966438.1010493914 1946060.9103466577)
송파구,37.5199966430664,127.11238861084,POINT (965748.0710272286 1946815.3690544842)
송파구,37.5202255249023,127.113922119141,POINT (965883.6868023297 1946840.2048080221)
송파구,37.5202293395996,127.111930847168,POINT (965707.7263087125 1946841.352033353)
송파구,37.5217395988462,127.105333068174,POINT (965125.4049000237 1947011.3313277778)
송파구,37.5220375061035,127.107299804687,POINT (965299.333516639 1947043.6549608682)
송파구,37.5220909118652,127.104484558105,POINT (965050.5901898369 1947050.6222151641)
송파구,37.5230375221856,127.105177904888,POINT (965112.2982720736 1947155.3853455116)
송파구,37.4773788452148,127.14705657959,POINT (968793.8444926854 1942075.1576035065)
송파구,37.4775276184082,127.145462036133,POINT (968652.9216100294 1942092.1925345212)
송파구,37.4775619506836,127.140983581543,POINT (968256.9645852544 1942097.5017219607)
송파구,37.477570431355,127.121802806919,POINT (966561.0618902544 1942105.0811543514)
송파구,37.477710723877,127.146614074707,POINT (968754.857639193 1942112.1238790418)
송파구,37.4782752990723,127.141502380371,POINT (968303.1365059412 1942176.4678259273)
송파구,37.4786290958527,127.132867911832,POINT (967539.8631582297 1942218.6605366638)
