주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 올림픽로35길 112 장미상가 B동 224225232233호 (신천동),의원,127.101802779596,37.5178827571707,송파구,POINT (964811.6397999855 1946584.7536245366)
서울특별시 송파구 송이로 200 2층 (문정동 대진빌딩),의원,127.127982264496,37.490000471382096,송파구,POINT (967112.8798777343 1943481.9299954218)
서울특별시 송파구 마천로 43 (방이동),의원,127.1256756862,37.5089781262,송파구,POINT (966917.3466299011 1945588.181024578)
서울특별시 송파구 중대로 193 2367층 (가락동 주식회사홈캐스트),의원,127.1257862041,37.499348068,송파구,POINT (966922.8658353807 1944519.751365938)
서울특별시 송파구 오금로 420 유니팜코리아 4층 일부호 (가락동),의원,127.136277101616,37.4969894018022,송파구,POINT (967849.1589027605 1944254.4381486883)
서울특별시 송파구 법원로 128 문정에스케이브이원지엘메트로시티 B동 316317호 (문정동),의원,127.1204690793,37.4868620536,송파구,POINT (966447.2928936642 1943136.3955460126)
서울특별시 송파구 송파대로 111 205동 312호 (문정동 파크하비오 하비오타워 법조대로),의원,127.12268676757306,37.48159744779,송파구,POINT (966641.0092995088 1942551.5364520252)
서울특별시 송파구 송파대로 345 1A동 2040호 일부2041호 2042호 (가락동 헬리오시티),의원,127.10253282307022,37.49761537952875,송파구,POINT (964866.6559238195 1944335.9473045534)
서울특별시 송파구 올림픽로 119 2층 B1B2호 (잠실동 잠실파인애플상가),의원,127.0845420831779,37.5120733657522,송파구,POINT (963283.4734178539 1945946.8343208025)
서울특별시 송파구 올림픽로 108 맥스빌딩 3층 (잠실동),의원,127.0827670683,37.5114270726,송파구,POINT (963126.2859549393 1945875.8263464412)
서울특별시 송파구 올림픽로 96 (잠실동),의원,127.0812152828,37.51146419,송파구,POINT (962989.1617997548 1945880.553545454)
서울특별시 송파구 올림픽로 289 잠실시그마타워 3층 309310호 (신천동),의원,127.102522142353,37.5146152773177,송파구,POINT (964873.6780487178 1946221.9786796113)
서울특별시 송파구 송파대로 365 2층3층 (석촌동),의원,127.111095312,37.5004115678,송파구,POINT (965624.8055176149 1944643.003898264)
서울특별시 송파구 법원로 128 문정에스케이브이원지엘메트로시티 B동 203~206호 (문정동),의원,127.120489970866,37.4868456339581,송파구,POINT (966449.1324915846 1943134.5664557351)
서울특별시 송파구 올림픽로37길 130 파크리오 A동 303호304호 (신천동),의원,127.10455146304984,37.52086214049081,송파구,POINT (965055.9291473682 1946914.2728740529)
서울특별시 송파구 마천로 35 2층 (방이동),의원,127.12488049730496,37.50930990880092,송파구,POINT (966847.2145875684 1945625.2699936912)
서울특별시 송파구 송파대로 345 A동 5층 5001500250035004일부5011호 (가락동 헬리오시티),의원,127.1115504586476,37.49924343545556,송파구,POINT (965664.5011035703 1944513.2412928692)
서울특별시 송파구 동남로 138 (문정동 문정클리닉 2층),의원,127.12628874333498,37.491028975861504,송파구,POINT (966963.6216084019 1943596.6284276943)
서울특별시 송파구 올림픽로 119 (잠실동 파인애플상가 4B 29호),의원,127.08418842973086,37.5120856031269,송파구,POINT (963252.2247823677 1945948.3300427215)
서울특별시 송파구 백제고분로 460 쿠피아타워 4층 (방이동),의원,127.113331548837,37.5114786473939,송파구,POINT (965827.5117789843 1945870.0090689866)
서울특별시 송파구 백제고분로7길 14 24층 (잠실동 태원빌딩),의원,127.0804765495,37.51027537,송파구,POINT (962923.286586599 1945748.9523826386)
서울특별시 송파구 백제고분로 409 천마빌딩 3층 (송파동),의원,127.1100204307,37.507761171,송파구,POINT (965533.1755545664 1945458.7869316596)
서울특별시 송파구 석촌호수로 135 레이크팰리스 상가A동 401호 (잠실동),의원,127.0923854442,37.5075708508,송파구,POINT (963974.4778152636 1945444.277500409)
서울특별시 송파구 올림픽로 106 (잠실동 10층),의원,127.08255439190562,37.51139478532904,송파구,POINT (963107.4743155888 1945872.327646496)
서울특별시 송파구 백제고분로 204 (삼전동 5층),의원,127.08923668758705,37.5037494063397,송파구,POINT (963694.3346493329 1945021.5232324982)
서울특별시 송파구 송파대로 155 NH송파농협 3층 (문정동),의원,127.122680698866,37.48408106974605,송파구,POINT (966641.5769710325 1942827.0789468992)
서울특별시 송파구 올림픽로 114 서경빌딩 9층 (잠실동),의원,127.08318778538232,37.51139073693494,송파구,POINT (963163.4499009212 1945871.6303444977)
서울특별시 송파구 올림픽로37길 130 파크리오 A동 5층 508509호 (신천동),의원,127.104421421949,37.5208819816451,송파구,POINT (965044.4471884519 1946916.522438695)
서울특별시 송파구 올림픽로 145 (잠실동 리센츠상가 4층 4B3호 4B17호),의원,127.08704389876652,37.51197787721744,송파구,POINT (963504.5284863678 1945935.2671458847)
서울특별시 송파구 석촌호수로 94 한주빌딩 3층 (잠실동),의원,127.087502519912,37.5081396789026,송파구,POINT (963543.1931083273 1945509.265887132)
